Gmt time,Open,High,Low,Close,Volume
01.01.2019 00:00:00.000,157.718,157.718,157.718,157.718,0
02.01.2019 00:00:00.000,154.847,158.818,154.228,157.798,70.3511
03.01.2019 00:00:00.000,143.927,145.697,141.987,142.057,98.7856
04.01.2019 00:00:00.000,144.558,148.518,143.787,148.238,95.1136
05.01.2019 00:00:00.000,148.238,148.238,148.238,148.238,0
06.01.2019 00:00:00.000,148.238,148.238,148.238,148.238,0
07.01.2019 00:00:00.000,148.637,148.788,145.887,147.937,89.0114
08.01.2019 00:00:00.000,149.578,151.797,148.518,150.787,86.1911
09.01.2019 00:00:00.000,151.398,154.508,149.627,153.312,97.2288
10.01.2019 00:00:00.000,152.287,153.948,150.857,153.777,93.5676
11.01.2019 00:00:00.000,152.898,153.638,151.497,152.218,77.7932
12.01.2019 00:00:00.000,152.218,152.218,152.218,152.218,0
13.01.2019 00:00:00.000,152.218,152.218,152.218,152.218,0
14.01.2019 00:00:00.000,150.938,151.238,149.207,149.937,84.8211
15.01.2019 00:00:00.000,150.218,153.365,150.027,153.027,108.8274
16.01.2019 00:00:00.000,152.978,155.848,152.977,154.897,115.0144
17.01.2019 00:00:00.000,154.187,157.617,153.247,155.787,106.2233
18.01.2019 00:00:00.000,157.537,157.847,155.977,156.787,111.087
19.01.2019 00:00:00.000,156.787,156.787,156.787,156.787,0
20.01.2019 00:00:00.000,156.787,156.787,156.787,156.787,0
21.01.2019 00:00:00.000,156.787,156.787,156.787,156.787,0
22.01.2019 00:00:00.000,156.517,156.658,152.697,153.687,121.842
23.01.2019 00:00:00.000,154.058,155.117,151.687,153.938,232.0448
24.01.2019 00:00:00.000,153.897,154.448,151.718,152.677,205.3782
25.01.2019 00:00:00.000,155.398,158.107,154.277,157.717,175.0956
26.01.2019 00:00:00.000,157.717,157.717,157.717,157.717,0
27.01.2019 00:00:00.000,157.717,157.717,157.717,157.717,0
28.01.2019 00:00:00.000,155.438,156.307,153.657,156.288,201.6562
29.01.2019 00:00:00.000,156.177,158.107,154.097,154.608,203.7624
30.01.2019 00:00:00.000,163.227,166.108,160.257,165.187,270.7032
31.01.2019 00:00:00.000,166.087,168.977,164.547,166.427,221.2478
01.02.2019 00:00:00.000,166.940,168.948,165.917,166.537,206.8948
02.02.2019 00:00:00.000,166.537,166.537,166.537,166.537,0
03.02.2019 00:00:00.000,166.537,166.537,166.537,166.537,0
04.02.2019 00:00:00.000,167.468,171.638,167.268,171.248,202.9808
05.02.2019 00:00:00.000,172.797,175.055,172.337,174.098,224.5391
06.02.2019 00:00:00.000,174.687,175.548,172.838,174.258,210.4423
07.02.2019 00:00:00.000,172.357,173.908,170.317,170.937,276.6402
08.02.2019 00:00:00.000,168.868,170.638,168.417,170.498,236.6495
09.02.2019 00:00:00.000,170.498,170.498,170.498,170.498,0
10.02.2019 00:00:00.000,170.498,170.498,170.498,170.498,0
11.02.2019 00:00:00.000,171.098,171.158,169.237,169.457,185.3028
12.02.2019 00:00:00.000,170.118,170.978,169.687,170.818,145.5202
13.02.2019 00:00:00.000,171.388,172.458,169.907,170.087,165.15
14.02.2019 00:00:00.000,169.698,171.248,169.368,170.797,187.8967
15.02.2019 00:00:00.000,171.298,171.638,169.737,170.357,185.2519
16.02.2019 00:00:00.000,170.357,170.357,170.357,170.357,0
17.02.2019 00:00:00.000,170.357,170.357,170.357,170.357,0
18.02.2019 00:00:00.000,170.357,170.357,170.357,170.357,0
19.02.2019 00:00:00.000,169.687,171.418,169.367,170.897,151.3986
20.02.2019 00:00:00.000,171.168,173.287,171.007,171.958,204.6197
21.02.2019 00:00:00.000,171.748,172.338,170.287,171.117,194.115
22.02.2019 00:00:00.000,171.367,172.977,171.358,172.977,161.494
