Gmt time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000,293.538,293.538,293.538,293.538,0
02.01.2020 00:00:00.000,296.248,300.488,295.367,300.457,608.3475
03.01.2020 00:00:00.000,296.888,300.568,296.537,297.678,973.895
04.01.2020 00:00:00.000,297.678,297.678,297.678,297.678,0
05.01.2020 00:00:00.000,297.678,297.678,297.678,297.678,0
06.01.2020 00:00:00.000,293.778,299.948,292.797,299.648,939.3225
07.01.2020 00:00:00.000,299.778,300.878,297.467,298.277,1003.0025
08.01.2020 00:00:00.000,297.208,304.418,297.207,303.008,987.855
09.01.2020 00:00:00.000,307.118,310.398,306.168,309.578,1117.3175
10.01.2020 00:00:00.000,310.768,312.648,308.227,310.338,1078.9575
11.01.2020 00:00:00.000,310.338,310.338,310.338,310.338,0
12.01.2020 00:00:00.000,310.338,310.338,310.338,310.338,0
13.01.2020 00:00:00.000,311.677,317.048,311.128,316.917,834.5875
14.01.2020 00:00:00.000,316.728,317.518,312.147,312.697,1187.77
15.01.2020 00:00:00.000,311.938,315.488,309.547,311.347,1029.275
16.01.2020 00:00:00.000,313.568,315.597,312.068,315.288,875.5675
17.01.2020 00:00:00.000,316.547,318.728,315.107,318.648,859.7875
18.01.2020 00:00:00.000,318.648,318.648,318.648,318.648,0
19.01.2020 00:00:00.000,318.648,318.648,318.648,318.648,0
20.01.2020 00:00:00.000,318.648,318.648,318.648,318.648,0
21.01.2020 00:00:00.000,317.107,318.998,316.208,316.588,997.5225
22.01.2020 00:00:00.000,318.728,319.968,317.307,317.728,1012.51
23.01.2020 00:00:00.000,317.828,319.548,315.628,319.198,1030.2025
24.01.2020 00:00:00.000,320.157,323.298,317.508,318.247,1483.12
25.01.2020 00:00:00.000,318.247,318.247,318.247,318.247,0
26.01.2020 00:00:00.000,318.247,318.247,318.247,318.247,0
27.01.2020 00:00:00.000,309.747,311.738,306.242,308.787,1217.8625
28.01.2020 00:00:00.000,312.448,318.378,312.168,317.617,1169.5425
